time	200
dz	0.02	0.02	0.02	0.02	0.02	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
limit_depth	0.001
items	number	k_offset	center_x	center_y	delta_x	delta_y	btm_k	sfc_k	btm_z	sfc_z	container_i	container_j	local_i	local_j	dry_wet
column	26	0	9.125	0.05	0.25	0.1	0	14	0	0.5602443645993926	9	0	0	0	wet
column	27	0	9.375	0.05	0.25	0.1	0	14	0	0.5602116786987599	9	0	1	0	wet
column	28	0	9.625	0.05	0.25	0.1	0	14	0	0.5601870023520343	9	0	2	0	wet
column	29	0	9.875	0.05	0.25	0.1	0	14	0	0.5601721922935281	9	0	3	0	wet
column	30	0	10.125	0.05	0.25	0.1	0	14	0	0.5601723569733661	10	0	0	0	wet
column	31	0	10.375	0.05	0.25	0.1	0	14	0	0.5601956465611934	10	0	1	0	wet
column	32	0	10.625	0.05	0.25	0.1	0	14	0	0.560241473295598	10	0	2	0	wet
column	33	0	10.875	0.05	0.25	0.1	0	14	0	0.5602878499500112	10	0	3	0	wet
column	34	0	11.125	0.05	0.25	0.1	0	14	0	0.5603161277065973	11	0	0	0	wet
column	35	0	11.375	0.05	0.25	0.1	0	14	0	0.5603138582104963	11	0	1	0	wet
column	36	0	11.625	0.05	0.25	0.1	0	14	0	0.560295298100297	11	0	2	0	wet
column	37	0	11.875	0.05	0.25	0.1	0	14	0	0.5602743131327087	11	0	3	0	wet
column	38	0	12.125	0.05	0.25	0.1	0	14	0	0.5602468204183051	12	0	0	0	wet
column	39	0	12.375	0.05	0.25	0.1	0	14	0	0.5602072782901895	12	0	1	0	wet
column	40	0	12.625	0.05	0.25	0.1	0	14	0	0.5601635694528091	12	0	2	0	wet
column	41	0	12.875	0.05	0.25	0.1	0	14	0	0.5601203524026211	12	0	3	0	wet
column	42	0	13.125	0.05	0.25	0.1	0	14	0	0.5600770116420279	13	0	0	0	wet
column	43	0	13.375	0.05	0.25	0.1	0	14	0	0.5600314420470863	13	0	1	0	wet
column	44	0	13.625	0.05	0.25	0.1	0	14	0	0.5599958744814385	13	0	2	0	wet
column	45	0	13.875	0.05	0.25	0.1	0	14	0	0.5599814750972977	13	0	3	0	wet
column	46	0	14.125	0.05	0.25	0.1	0	14	0	0.5599938291608924	14	0	0	0	wet
column	47	0	14.375	0.05	0.25	0.1	0	14	0	0.5600221169168008	14	0	1	0	wet
column	48	0	14.625	0.05	0.25	0.1	0	14	0	0.560054611045502	14	0	2	0	wet
column	49	0	14.875	0.05	0.25	0.1	0	14	0	0.5600845103687279	14	0	3	0	wet
column	50	0	15.125	0.05	0.25	0.1	0	14	0	0.5601002439766624	15	0	0	0	wet
column	51	0	15.375	0.05	0.25	0.1	0	14	0	0.5600722425312915	15	0	1	0	wet
column	52	0	15.625	0.05	0.25	0.1	0	14	0	0.5599975210821124	15	0	2	0	wet
column	53	0	15.875	0.05	0.25	0.1	0	14	0	0.5598981109001647	15	0	3	0	wet
column	54	0	16.125	0.05	0.25	0.1	0	14	0	0.5598363268885503	16	0	0	0	wet
column	55	0	16.375	0.05	0.25	0.1	0	14	0	0.5598431006964537	16	0	1	0	wet
column	56	0	16.625	0.05	0.25	0.1	0	14	0	0.5599282396012619	16	0	2	0	wet
column	57	0	16.875	0.05	0.25	0.1	0	14	0	0.5600524135177445	16	0	3	0	wet
column	58	0	17.125	0.05	0.25	0.1	0	14	0	0.5601046926965697	17	0	0	0	wet
column	59	0	17.375	0.05	0.25	0.1	0	14	0	0.5599955830548778	17	0	1	0	wet
column	60	0	17.625	0.05	0.25	0.1	0	14	0	0.5597899165959189	17	0	2	0	wet
column	61	0	17.875	0.05	0.25	0.1	0	14	0	0.5596315560329487	17	0	3	0	wet
column	62	0	18.125	0.05	0.25	0.1	0	14	0	0.5595899132052915	18	0	0	0	wet
column	63	0	18.375	0.05	0.25	0.1	0	14	0	0.5596758826183704	18	0	1	0	wet
column	64	0	18.625	0.05	0.25	0.1	0	14	0	0.5598229948557401	18	0	2	0	wet
column	65	0	18.875	0.05	0.25	0.1	0	14	0	0.5598992355700141	18	0	3	0	wet
column	66	0	19.125	0.05	0.25	0.1	0	14	0	0.5597847063681769	19	0	0	0	wet
column	67	0	19.375	0.05	0.25	0.1	0	14	0	0.5596266912435117	19	0	1	0	wet
column	68	0	19.625	0.05	0.25	0.1	0	14	0	0.559570521010934	19	0	2	0	wet
column	69	0	19.875	0.05	0.25	0.1	0	14	0	0.5596651259719149	19	0	3	0	wet
column	70	0	20.1	0.05	0.2	0.1	0	14	0	0.5598630748627068	20	0	0	0	wet
column	71	0	20.3	0.05	0.2	0.1	0	14	0	0.5599829294285048	20	0	1	0	wet
column	72	0	20.5	0.05	0.2	0.1	0	14	0	0.5599334465263233	20	0	2	0	wet
column	73	0	20.7	0.05	0.2	0.1	0	14	0	0.5597222518640683	20	0	3	0	wet
column	74	0	20.9	0.05	0.2	0.1	0	14	0	0.5594698302749741	20	0	4	0	wet
column	75	0	21.1	0.05	0.2	0.1	0	14	0	0.5593066576803911	21	0	0	0	wet
column	76	0	21.3	0.05	0.2	0.1	0	14	0	0.5593110098357387	21	0	1	0	wet
column	77	0	21.5	0.05	0.2	0.1	0	14	0	0.5594666770519582	21	0	2	0	wet
column	78	0	21.7	0.05	0.2	0.1	0	14	0	0.5597300864171121	21	0	3	0	wet
column	79	0	21.9	0.05	0.2	0.1	0	14	0	0.5599308712551754	21	0	4	0	wet
column	80	0	22.1	0.05	0.2	0.1	0	14	0	0.5599185654931998	22	0	0	0	wet
column	81	0	22.3	0.05	0.2	0.1	0	14	0	0.5597235800776721	22	0	1	0	wet
column	82	0	22.5	0.05	0.2	0.1	0	14	0	0.5595198346837549	22	0	2	0	wet
column	83	0	22.7	0.05	0.2	0.1	0	14	0	0.559427317150297	22	0	3	0	wet
column	84	0	22.9	0.05	0.2	0.1	0	14	0	0.5594223750620161	22	0	4	0	wet
column	85	0	23.1	0.05	0.2	0.1	0	14	0	0.5594410691887869	23	0	0	0	wet
column	86	0	23.3	0.05	0.2	0.1	0	14	0	0.5594167714939865	23	0	1	0	wet
column	87	0	23.5	0.05	0.2	0.1	0	14	0	0.559364588498262	23	0	2	0	wet
column	88	0	23.7	0.05	0.2	0.1	0	14	0	0.5593214332503976	23	0	3	0	wet
column	89	0	23.9	0.05	0.2	0.1	0	14	0	0.5593134038420221	23	0	4	0	wet
column	90	0	24.1	0.05	0.2	0.1	0	14	0	0.5593350634250798	24	0	0	0	wet
column	91	0	24.3	0.05	0.2	0.1	0	14	0	0.5593931244249351	24	0	1	0	wet
column	92	0	24.5	0.05	0.2	0.1	0	14	0	0.5595047374574755	24	0	2	0	wet
column	93	0	24.7	0.05	0.2	0.1	0	14	0	0.5596769701210823	24	0	3	0	wet
column	94	0	24.9	0.05	0.2	0.1	0	14	0	0.5598369458144942	24	0	4	0	wet
column	95	0	25.1	0.05	0.2	0.1	0	14	0	0.5597265437953869	25	0	0	0	wet
column	96	0	25.3	0.05	0.2	0.1	0	14	0	0.5591843054580729	25	0	1	0	wet
column	97	0	25.5	0.05	0.2	0.1	0	14	0	0.5585232972702601	25	0	2	0	wet
column	98	0	25.7	0.05	0.2	0.1	0	14	0	0.5582805069052472	25	0	3	0	wet
column	99	0	25.9	0.05	0.2	0.1	0	14	0	0.5587307493644491	25	0	4	0	wet
column	100	0	26.1	0.05	0.2	0.1	0	14	0	0.5598702325586573	26	0	0	0	wet
column	101	0	26.3	0.05	0.2	0.1	0	14	0	0.5607012314410954	26	0	1	0	wet
column	102	0	26.5	0.05	0.2	0.1	0	14	0	0.5600242509756063	26	0	2	0	wet
column	103	0	26.7	0.05	0.2	0.1	0	14	0	0.5587942148975996	26	0	3	0	wet
column	104	0	26.9	0.05	0.2	0.1	0	14	0	0.5583429279415645	26	0	4	0	wet
column	105	0	27.05	0.05	0.1	0.1	0	14	0	0.5587007739667668	27	0	0	0	wet
column	106	0	27.15	0.05	0.1	0.1	0	14	0	0.5593072549711842	27	0	1	0	wet
column	107	0	27.25	0.05	0.1	0.1	0	14	0	0.5598158111796865	27	0	2	0	wet
column	108	0	27.35	0.05	0.1	0.1	0	14	0	0.5600103941375105	27	0	3	0	wet
column	109	0	27.45	0.05	0.1	0.1	0	14	0	0.5598827652794115	27	0	4	0	wet
column	110	0	27.55	0.05	0.1	0.1	0	14	0	0.5595122573773472	27	0	5	0	wet
column	111	0	27.65	0.05	0.1	0.1	0	14	0	0.5590577660754689	27	0	6	0	wet
column	112	0	27.75	0.05	0.1	0.1	0	14	0	0.5587412500370147	27	0	7	0	wet
column	113	0	27.85	0.05	0.1	0.1	0	14	0	0.5585836537978844	27	0	8	0	wet
column	114	0	27.95	0.05	0.1	0.1	0	14	0	0.5585709991485288	27	0	9	0	wet
column	115	0	28.05	0.05	0.1	0.1	0	14	0	0.5587042732121915	28	0	0	0	wet
column	116	0	28.15	0.05	0.1	0.1	0	14	0	0.5589382230333217	28	0	1	0	wet
column	117	0	28.25	0.05	0.1	0.1	0	14	0	0.5592035483019568	28	0	2	0	wet
column	118	0	28.35	0.05	0.1	0.1	0	14	0	0.5594759923435421	28	0	3	0	wet
column	119	0	28.45	0.05	0.1	0.1	0	14	0	0.5597470854270982	28	0	4	0	wet
column	120	0	28.55	0.05	0.1	0.1	0	14	0	0.5599402796281808	28	0	5	0	wet
column	121	0	28.65	0.05	0.1	0.1	0	14	0	0.5599453523247466	28	0	6	0	wet
column	122	0	28.75	0.05	0.1	0.1	0	14	0	0.5597256443491897	28	0	7	0	wet
column	123	0	28.85	0.05	0.1	0.1	0	14	0	0.5593693480500428	28	0	8	0	wet
column	124	0	28.95	0.05	0.1	0.1	0	14	0	0.5588901783137467	28	0	9	0	wet
column	125	0	29.05	0.05	0.1	0.1	0	14	0	0.5583497313586745	29	0	0	0	wet
column	126	0	29.15	0.05	0.1	0.1	0	14	0	0.5579104611651916	29	0	1	0	wet
column	127	0	29.25	0.05	0.1	0.1	0	14	0	0.5578483357953392	29	0	2	0	wet
column	128	0	29.35	0.05	0.1	0.1	0	14	0	0.5581852107789697	29	0	3	0	wet
column	129	0	29.45	0.05	0.1	0.1	0	14	0	0.5589191079589109	29	0	4	0	wet
column	130	0	29.55	0.05	0.1	0.1	0	14	0	0.5598623391483927	29	0	5	0	wet
column	131	0	29.65	0.05	0.1	0.1	0	14	0	0.5605306626648549	29	0	6	0	wet
column	132	0	29.75	0.05	0.1	0.1	0	14	0	0.5602152586385746	29	0	7	0	wet
column	133	0	29.85	0.05	0.1	0.1	0	14	0	0.5595414159336527	29	0	8	0	wet
column	134	0	29.95	0.05	0.1	0.1	0	14	0	0.558765912098988	29	0	9	0	wet
column	135	0	30.025	0.05	0.05	0.1	0	14	0	0.5583576911256558	30	0	0	0	wet
column	136	0	30.075	0.05	0.05	0.1	0	14	0	0.5583588145822745	30	0	1	0	wet
column	137	0	30.125	0.05	0.05	0.1	0	14	0	0.5582661410152137	30	0	2	0	wet
column	138	0	30.175	0.05	0.05	0.1	0	14	0	0.5584394569805742	30	0	3	0	wet
column	139	0	30.225	0.05	0.05	0.1	0	14	0	0.558470196922755	30	0	4	0	wet
column	140	0	30.275	0.05	0.05	0.1	0	14	0	0.5587183588049632	30	0	5	0	wet
column	141	0	30.325	0.05	0.05	0.1	0	14	0	0.5591289435051789	30	0	6	0	wet
column	142	0	30.375	0.05	0.05	0.1	0	14	0	0.5593635647600622	30	0	7	0	wet
column	143	0	30.425	0.05	0.05	0.1	0	14	0	0.5596554544603475	30	0	8	0	wet
column	144	0	30.475	0.05	0.05	0.1	0	14	0	0.5598779039184035	30	0	9	0	wet
column	145	0	30.525	0.05	0.05	0.1	0	14	0	0.5599561726867863	30	0	10	0	wet
column	146	0	30.575	0.05	0.05	0.1	0	14	0	0.5599570328593777	30	0	11	0	wet
column	147	0	30.625	0.05	0.05	0.1	0	14	0	0.5598976922760235	30	0	12	0	wet
column	148	0	30.675	0.05	0.05	0.1	0	14	0	0.5597131648231549	30	0	13	0	wet
column	149	0	30.725	0.05	0.05	0.1	0	14	0	0.5593814564419779	30	0	14	0	wet
column	150	0	30.775	0.05	0.05	0.1	0	14	0	0.5590654710533747	30	0	15	0	wet
column	151	0	30.825	0.05	0.05	0.1	0	14	0	0.558709128255332	30	0	16	0	wet
column	152	0	30.875	0.05	0.05	0.1	0	14	0	0.5583451835833879	30	0	17	0	wet
column	153	0	30.925	0.05	0.05	0.1	0	14	0	0.5580289954867812	30	0	18	0	wet
column	154	0	30.975	0.05	0.05	0.1	0	14	0	0.5577950781859589	30	0	19	0	wet
column	155	0	31.025	0.05	0.05	0.1	0	14	0	0.5576770636395787	31	0	0	0	wet
column	156	0	31.075	0.05	0.05	0.1	0	14	0	0.5576336324316535	31	0	1	0	wet
column	157	0	31.125	0.05	0.05	0.1	0	14	0	0.5576564878523793	31	0	2	0	wet
column	158	0	31.175	0.05	0.05	0.1	0	14	0	0.5578606094419604	31	0	3	0	wet
column	159	0	31.225	0.05	0.05	0.1	0	14	0	0.5581008277321483	31	0	4	0	wet
column	160	0	31.275	0.05	0.05	0.1	0	14	0	0.5584794600467752	31	0	5	0	wet
column	161	0	31.325	0.05	0.05	0.1	0	14	0	0.5588987188309873	31	0	6	0	wet
column	162	0	31.375	0.05	0.05	0.1	0	14	0	0.5593720215656187	31	0	7	0	wet
column	163	0	31.425	0.05	0.05	0.1	0	14	0	0.5597898346155027	31	0	8	0	wet
column	164	0	31.475	0.05	0.05	0.1	0	14	0	0.5602194819754803	31	0	9	0	wet
column	165	0	31.525	0.05	0.05	0.1	0	14	0	0.5604781579957462	31	0	10	0	wet
column	166	0	31.575	0.05	0.05	0.1	0	14	0	0.5606238541872555	31	0	11	0	wet
column	167	0	31.625	0.05	0.05	0.1	0	14	0	0.5605466682409073	31	0	12	0	wet
column	168	0	31.675	0.05	0.05	0.1	0	14	0	0.5603104852767498	31	0	13	0	wet
column	169	0	31.725	0.05	0.05	0.1	0	14	0	0.5599483953411083	31	0	14	0	wet
column	170	0	31.775	0.05	0.05	0.1	0	14	0	0.5595067024284995	31	0	15	0	wet
column	171	0	31.825	0.05	0.05	0.1	0	14	0	0.5590652452358419	31	0	16	0	wet
column	172	0	31.875	0.05	0.05	0.1	0	14	0	0.5586258137540395	31	0	17	0	wet
column	173	0	31.925	0.05	0.05	0.1	0	14	0	0.5582698052910477	31	0	18	0	wet
column	174	0	31.975	0.05	0.05	0.1	0	14	0	0.5579577007161993	31	0	19	0	wet
column	175	0	32.025	0.05	0.05	0.1	0	14	0	0.5577736027337632	32	0	0	0	wet
column	176	0	32.075	0.05	0.05	0.1	0	14	0	0.5577069345186672	32	0	1	0	wet
column	177	0	32.125	0.05	0.05	0.1	0	14	0	0.5576959883941041	32	0	2	0	wet
column	178	0	32.175	0.05	0.05	0.1	0	14	0	0.5577712888737485	32	0	3	0	wet
column	179	0	32.225	0.05	0.05	0.1	0	14	0	0.5579084176917134	32	0	4	0	wet
column	180	0	32.275	0.05	0.05	0.1	0	14	0	0.5581027200887313	32	0	5	0	wet
column	181	0	32.325	0.05	0.05	0.1	0	14	0	0.5583232344900297	32	0	6	0	wet
column	182	0	32.375	0.05	0.05	0.1	0	14	0	0.5585241923648655	32	0	7	0	wet
column	183	0	32.425	0.05	0.05	0.1	0	14	0	0.5587335493227995	32	0	8	0	wet
column	184	0	32.475	0.05	0.05	0.1	0	14	0	0.5588614576622102	32	0	9	0	wet
column	185	0	32.525	0.05	0.05	0.1	0	14	0	0.5589849749947826	32	0	10	0	wet
column	186	0	32.575	0.05	0.05	0.1	0	14	0	0.5590061441610692	32	0	11	0	wet
column	187	0	32.625	0.05	0.05	0.1	0	14	0	0.5589687245460285	32	0	12	0	wet
column	188	0	32.675	0.05	0.05	0.1	0	14	0	0.5589303104489058	32	0	13	0	wet
column	189	0	32.725	0.05	0.05	0.1	0	14	0	0.5588474294949367	32	0	14	0	wet
column	190	0	32.775	0.05	0.05	0.1	0	14	0	0.5587614587095451	32	0	15	0	wet
column	191	0	32.825	0.05	0.05	0.1	0	14	0	0.558705684754129	32	0	16	0	wet
column	192	0	32.875	0.05	0.05	0.1	0	14	0	0.5586250434690251	32	0	17	0	wet
column	193	0	32.925	0.05	0.05	0.1	0	14	0	0.5585789900661761	32	0	18	0	wet
column	194	0	32.975	0.05	0.05	0.1	0	14	0	0.5585183453681101	32	0	19	0	wet
column	195	0	33.025	0.05	0.05	0.1	0	14	0	0.5584679585510579	33	0	0	0	wet
column	196	0	33.075	0.05	0.05	0.1	0	14	0	0.5584476822406991	33	0	1	0	wet
column	197	0	33.125	0.05	0.05	0.1	0	14	0	0.5584076541403357	33	0	2	0	wet
column	198	0	33.175	0.05	0.05	0.1	0	14	0	0.5583568093038668	33	0	3	0	wet
column	199	0	33.225	0.05	0.05	0.1	0	14	0	0.5582997908394112	33	0	4	0	wet
column	200	0	33.275	0.05	0.05	0.1	0	14	0	0.5582030728029393	33	0	5	0	wet
column	201	0	33.325	0.05	0.05	0.1	0	14	0	0.5581224810147833	33	0	6	0	wet
column	202	0	33.375	0.05	0.05	0.1	0	14	0	0.5580265931565946	33	0	7	0	wet
column	203	0	33.425	0.05	0.05	0.1	0	14	0	0.5579591034938569	33	0	8	0	wet
column	204	0	33.475	0.05	0.05	0.1	0	14	0	0.5579199491039641	33	0	9	0	wet
column	205	0	33.525	0.05	0.05	0.1	0	14	0	0.5579015584860108	33	0	10	0	wet
column	206	0	33.575	0.05	0.05	0.1	0	14	0	0.5579009287765292	33	0	11	0	wet
column	207	0	33.625	0.05	0.05	0.1	0	14	0	0.5579124917241771	33	0	12	0	wet
column	208	0	33.675	0.05	0.05	0.1	0	14	0	0.5579566870020649	33	0	13	0	wet
column	209	0	33.725	0.05	0.05	0.1	0	14	0	0.5580407934170533	33	0	14	0	wet
column	210	0	33.775	0.05	0.05	0.1	0	14	0	0.5581573252291181	33	0	15	0	wet
column	211	0	33.825	0.05	0.05	0.1	0	14	0	0.5582977363171993	33	0	16	0	wet
column	212	0	33.875	0.05	0.05	0.1	0	14	0	0.558455362214997	33	0	17	0	wet
column	213	0	33.925	0.05	0.05	0.1	0	14	0	0.5585185346821199	33	0	18	0	wet
column	214	0	33.975	0.05	0.05	0.1	0	14	0	0.5586159659708247	33	0	19	0	wet
column	215	0	34.025	0.05	0.05	0.1	0	14	0	0.5585726580098026	34	0	0	0	wet
column	216	0	34.075	0.05	0.05	0.1	0	14	0	0.5586055423192616	34	0	1	0	wet
column	217	0	34.125	0.05	0.05	0.1	0	14	0	0.5584748996257215	34	0	2	0	wet
column	218	0	34.175	0.05	0.05	0.1	0	14	0	0.5583591614272384	34	0	3	0	wet
column	219	0	34.225	0.05	0.05	0.1	0	14	0	0.5581901433738509	34	0	4	0	wet
column	220	0	34.275	0.05	0.05	0.1	0	14	0	0.5579231778432434	34	0	5	0	wet
column	221	0	34.325	0.05	0.05	0.1	0	14	0	0.5577130090768456	34	0	6	0	wet
column	222	0	34.375	0.05	0.05	0.1	0	14	0	0.5575423869582667	34	0	7	0	wet
column	223	0	34.425	0.05	0.05	0.1	0	14	0	0.5573989470449121	34	0	8	0	wet
column	224	0	34.475	0.05	0.05	0.1	0	14	0	0.5573314753681473	34	0	9	0	wet
column	225	0	34.525	0.05	0.05	0.1	0	14	0	0.5572977063206965	34	0	10	0	wet
column	226	0	34.575	0.05	0.05	0.1	0	14	0	0.5572964775819573	34	0	11	0	wet
column	227	0	34.625	0.05	0.05	0.1	0	14	0	0.5573555770456874	34	0	12	0	wet
column	228	0	34.675	0.05	0.05	0.1	0	14	0	0.5574964255884657	34	0	13	0	wet
column	229	0	34.725	0.05	0.05	0.1	0	14	0	0.5576156160316054	34	0	14	0	wet
column	230	0	34.775	0.05	0.05	0.1	0	14	0	0.5578521340547936	34	0	15	0	wet
column	231	0	34.825	0.05	0.05	0.1	0	14	0	0.5579522203752936	34	0	16	0	wet
column	232	0	34.875	0.05	0.05	0.1	0	14	0	0.5580958802824137	34	0	17	0	wet
column	233	0	34.925	0.05	0.05	0.1	0	14	0	0.5582467818908693	34	0	18	0	wet
column	234	0	34.975	0.05	0.05	0.1	0	14	0	0.5582378883737443	34	0	19	0	wet
column	235	0	35.025	0.05	0.05	0.1	0	14	0	0.5582775781000454	35	0	0	0	wet
column	236	0	35.075	0.05	0.05	0.1	0	14	0	0.5582133441779832	35	0	1	0	wet
column	237	0	35.125	0.05	0.05	0.1	0	14	0	0.5581478783485995	35	0	2	0	wet
column	238	0	35.175	0.05	0.05	0.1	0	14	0	0.558022430361515	35	0	3	0	wet
column	239	0	35.225	0.05	0.05	0.1	0	14	0	0.5579247616031463	35	0	4	0	wet
column	240	0	35.275	0.05	0.05	0.1	0	14	0	0.5578175084748566	35	0	5	0	wet
column	241	0	35.325	0.05	0.05	0.1	0	14	0	0.5577601230581952	35	0	6	0	wet
column	242	0	35.375	0.05	0.05	0.1	0	14	0	0.5576793193928938	35	0	7	0	wet
column	243	0	35.425	0.05	0.05	0.1	0	14	0	0.5575806412275121	35	0	8	0	wet
column	244	0	35.475	0.05	0.05	0.1	0	14	0	0.5575627137327696	35	0	9	0	wet
column	245	0	35.525	0.05	0.05	0.1	0	14	0	0.5575219723189551	35	0	10	0	wet
column	246	0	35.575	0.05	0.05	0.1	0	14	0	0.5575314652842186	35	0	11	0	wet
column	247	0	35.625	0.05	0.05	0.1	0	14	0	0.5575318207696366	35	0	12	0	wet
column	248	0	35.675	0.05	0.05	0.1	0	14	0	0.5574827608911049	35	0	13	0	wet
column	249	0	35.725	0.05	0.05	0.1	0	14	0	0.5574867109003956	35	0	14	0	wet
column	250	0	35.775	0.05	0.05	0.1	0	14	0	0.5575226653708801	35	0	15	0	wet
column	251	0	35.825	0.05	0.05	0.1	0	14	0	0.5574825507161398	35	0	16	0	wet
column	252	0	35.875	0.05	0.05	0.1	0	14	0	0.557604362596989	35	0	17	0	wet
column	253	0	35.925	0.05	0.05	0.1	0	14	0	0.5575438877897922	35	0	18	0	wet
column	254	0	35.975	0.05	0.05	0.1	0	14	0	0.5575928011149081	35	0	19	0	wet
column	255	0	36.025	0.05	0.05	0.1	0	14	0	0.5576597867066011	36	0	0	0	wet
column	256	0	36.075	0.05	0.05	0.1	0	14	0	0.5576238062901229	36	0	1	0	wet
column	257	0	36.125	0.05	0.05	0.1	0	14	0	0.5575754079491174	36	0	2	0	wet
column	258	0	36.175	0.05	0.05	0.1	0	14	0	0.5575598487863267	36	0	3	0	wet
column	259	0	36.225	0.05	0.05	0.1	0	14	0	0.5575324879436907	36	0	4	0	wet
column	260	0	36.275	0.05	0.05	0.1	0	14	0	0.5574852341974275	36	0	5	0	wet
column	261	0	36.325	0.05	0.05	0.1	0	14	0	0.5574468990570823	36	0	6	0	wet
column	262	0	36.375	0.05	0.05	0.1	0	14	0	0.5573913599568716	36	0	7	0	wet
column	263	0	36.425	0.05	0.05	0.1	0	14	0	0.5573764192991421	36	0	8	0	wet
column	264	0	36.475	0.05	0.05	0.1	0	14	0	0.5573107065476671	36	0	9	0	wet
column	265	0	36.525	0.05	0.05	0.1	0	14	0	0.5573348122014012	36	0	10	0	wet
column	266	0	36.575	0.05	0.05	0.1	0	14	0	0.5572974050664965	36	0	11	0	wet
column	267	0	36.625	0.05	0.05	0.1	0	14	0	0.5573972020365155	36	0	12	0	wet
column	268	0	36.675	0.05	0.05	0.1	0	14	0	0.5574365687092925	36	0	13	0	wet
column	269	0	36.725	0.05	0.05	0.1	0	14	0	0.5575096841111929	36	0	14	0	wet
column	270	0	36.775	0.05	0.05	0.1	0	14	0	0.557494549106865	36	0	15	0	wet
column	271	0	36.825	0.05	0.05	0.1	0	14	0	0.5575617763113953	36	0	16	0	wet
column	272	0	36.875	0.05	0.05	0.1	0	14	0	0.557502053570379	36	0	17	0	wet
column	273	0	36.925	0.05	0.05	0.1	0	14	0	0.5575257500111692	36	0	18	0	wet
column	274	0	36.975	0.05	0.05	0.1	0	14	0	0.5574661198257725	36	0	19	0	wet
column	275	0	37.025	0.05	0.05	0.1	0	14	0	0.5574361414160932	37	0	0	0	wet
column	276	0	37.075	0.05	0.05	0.1	0	14	0	0.5573635057925436	37	0	1	0	wet
column	277	0	37.125	0.05	0.05	0.1	0	14	0	0.5572671766950447	37	0	2	0	wet
column	278	0	37.175	0.05	0.05	0.1	0	14	0	0.5572108797365855	37	0	3	0	wet
column	279	0	37.225	0.05	0.05	0.1	0	14	0	0.5571647810276885	37	0	4	0	wet
column	280	0	37.275	0.05	0.05	0.1	0	14	0	0.5570496864671545	37	0	5	0	wet
column	281	0	37.325	0.05	0.05	0.1	0	14	0	0.5569220796223627	37	0	6	0	wet
column	282	0	37.375	0.05	0.05	0.1	0	14	0	0.5568302306589503	37	0	7	0	wet
column	283	0	37.425	0.05	0.05	0.1	0	14	0	0.5567761614563234	37	0	8	0	wet
column	284	0	37.475	0.05	0.05	0.1	0	14	0	0.5567435735011865	37	0	9	0	wet
